epoch,train_loss,train_acc,val_loss,val_acc
1,1.4649563062394986,0.5400421907961559,1.0711073219776153,0.676875
2,0.867752145436492,0.7381045394171419,0.8715457618236542,0.73375
3,0.6297163213498053,0.8051410266427065,0.8014721548557282,0.768125
4,0.45999485706945853,0.8613954215173061,0.807826142013073,0.771875
5,0.34292816543674104,0.8927259942182983,0.8328618168830871,0.765
6,0.25790711611344,0.9190561762637706,0.853604930639267,0.78
7,0.18134278821469246,0.9435893429174155,0.8417111161351204,0.785625
8,0.1489330390876453,0.9535901242284553,0.9694531524181366,0.766875
9,0.13570426058171736,0.9563247128681929,0.9081783950328827,0.78875
10,0.12208067633852529,0.9626533322915852,1.0183669340610504,0.770625
11,0.11502773421184562,0.9625752011875928,1.0475105452537536,0.761875
12,0.09180168421792466,0.9702320493788578,1.039557817876339,0.78375
