epoch,train_loss,train_acc,val_loss,val_acc
1,2.477853657128392,0.19001484490975856,2.186872138977051,0.30625
2,2.139508760555693,0.3115087116180952,2.0089514207839967,0.33875
3,1.956267074380352,0.3771388389717947,1.9274802136421203,0.395625
4,1.8097745125643379,0.42761153215094927,1.7523142004013061,0.4325
5,1.6844812058798921,0.463395577779514,1.6250123047828675,0.493125
6,1.589490936579057,0.4949605437924838,1.5286442160606384,0.518125
7,1.5175527267059652,0.5175404328463161,1.5155535650253296,0.538125
8,1.4696986255296292,0.536291897804516,1.4680972480773926,0.565625
9,1.4111275227519346,0.5569185092585358,1.4030716574192048,0.5775
10,1.360949665347583,0.5698882725212907,1.4445208156108855,0.564375
11,1.331338830865615,0.5887178685834831,1.3273885107040406,0.6075
12,1.2880670817366466,0.5958277990468005,1.303647257089615,0.596875
13,1.2460241926881577,0.6152043128369404,1.3326862859725952,0.6
14,1.220980931691932,0.6218454566763029,1.2528377842903138,0.631875
15,1.1902012138015003,0.6341901711071177,1.227700216770172,0.63125
16,1.1563812829952835,0.6374716774748027,1.2289875733852387,0.630625
17,1.1210593907886561,0.6509883584655051,1.2044572257995605,0.62625
